cpv_key,cpv_value
45112710-5,Εργασίες διαμόρφωσης τοπίου για χώρους πρασίνου
45112712-9,Εργασίες διαμόρφωσης τοπίου για κήπους
45212314-0,Κατασκευαστικές εργασίες για ιστορικά μνημεία ή μνημεία
45215100-8,Κατασκευαστικές εργασίες για κτίρια υπηρεσιών υγείας
45220000-5,Εργασίες μηχανικού και δομικές εργασίες
45221220-0,Οχετός
45221230-3,Φρέατα
45223100-7,Συναρμολόγηση μεταλλικών δομικών κατασκευών
45223110-0,Τοποθέτηση μεταλλικών δομικών κατασκευών
45223500-1,Κατασκευές από οπλισμένο σκυρόδεμα
45231110-9,Κατασκευαστικές εργασίες για τοποθέτηση αγωγών
45231300-8,Κατασκευαστικές εργασίες για αγωγούς ύδρευσης και αποχέτευσης
45232120-9,Αρδευτικά έργα
45232121-6,Κατασκευαστικές εργασίες για σωληνώσεις διανομής νερού άρδευσης
45232130-2,Κατασκευαστικές εργασίες για σωληνώσεις ομβρίων υδάτων
45232150-8,Εργασίες σχετιζόμενες με τους αγωγούς διανομής νερού
45232152-2,Κατασκευαστικές εργασίες για αντλιοστάσια
45232400-6,Έργα κατασκευής αποχετεύσεων
45232452-5,Εργασίες αποστράγγισης
45233120-6,Έργα οδοποιίας
45233141-9,Εργασίες συντήρησης οδών
45233142-6,Εργασίες επισκευής οδών
45233160-8,Δίοδοι προσπέλασης και λοιπές μη ασφαλτοστρωμένες επιφάνειες
45233161-5,Κατασκευαστικές εργασίες για διόδους προσπέλασης
45233200-1,Διάφορες εργασίες επικάλυψης του οδοστρώματος
45233220-7,Επιφανειακές εργασίες οδοστρώματος οδών
45233222-1,Κατασκευαστικές εργασίες για έργα οδοστρωσίας και ασφαλτόστρωσης
45233229-0,Συντήρησης ερεισμάτων
45233250-6,Εργασίες επίστρωσης εκτός από οδοστρώσεις
45233260-9,Κατασκευαστικές εργασίες για πεζοδρόμους
45233290-8,Εγκατάσταση οδικών πινακίδων
45233291-5,Εγκατάσταση μικρών οδικών στύλων
45233294-6,Εγκατάσταση οδικών σημάτων
45234140-9,Κατασκευαστικές εργασίες για ισόπεδες διαβάσεις
45236000-0,Εργασίες διάστρωσης
45240000-1,Κατασκευαστικές εργασίες για υδραυλικά έργα
45241600-4,Εγκατάσταση εξοπλισμού φωτισμού λιμένα
45243510-0,Εργασίες επιχωμάτωσης
45246400-7,Αντιπλημμυρικά έργα
45246410-0,Συντήρηση αντιπλημμυρικών έργων
45247130-0,Κατασκευαστικές εργασίες για υδραγωγεία
45247200-2,Κατασκευαστικές εργασίες φραγμάτων και παρόμοιων μόνιμων κατασκευών
45247210-5,Κατασκευαστικές εργασίες για φράγματα
45247211-2,Κατασκευαστικές εργασίες για τοίχους φραγμάτων
45247212-9,Εργασίες ενίσχυσης φράγματος
45247220-8,Κατασκευαστικές εργασίες για μικρά ποτάμια φράγματα
45247230-1,Κατασκευαστικές εργασίες για αντιπλημμυρικά αναχώματα
45247240-4,Κατασκευαστικές εργασίες για στατικά φράγματα
45247270-3,Κατασκευαστικές εργασίες δεξαμενής
45261000-4,Οικοδομικές και συναφείς εργασίες επικάλυψης στεγών και κατασκευής διαχωριστικών πλαισίων
45261100-5,Εργασίες κατασκευής πλαισίων στεγών
45261210-9,Εργασίες κάλυψης στέγης
45261320-3,Εργασίες τοποθέτησης υδρορροών
45261410-1,Εργασίες μόνωσης στέγης
45261900-3,Εργασίες επισκευής και συντήρησης στέγης
45262100-2,Εργασίες ικριωμάτων
45262210-6,Εργασίες θεμελιώσεων
45262300-4,Εργασίες σκυροδέματος
45262311-4,Εργασίες καλουπώματος για την έγχυση σκυροδέματος
45262320-0,Εργασίες επικάλυψης δαπέδων
45262360-2,Εργασίες με τσιμεντοκονίαμα
45262370-5,Εργασίες επίχρισης σκυροδέματος
45262510-9,Λιθοκατασκευές
45262522-6,Εργασίες τοιχοποιίας
45262640-9,Έργα αναβάθμισης περιβάλλοντος
45310000-3,Εργασίες ηλεκτρολογικών εγκαταστάσεων
45320000-6,Εργασίες μόνωσης
45330000-9,Υδραυλικές εργασίες
45331220-4,Εργασίες εγκατάστασης συστημάτων κλιματισμού
45340000-2,Εργασίες τοποθέτησης περιφράξεων
45341000-9,Τοποθέτηση κιγκλιδωμάτων
45343000-3,Εργασίες εγκαταστάσεων πρόληψης πυρκαγιάς
45343100-4,Εργασίες πυροπροστασίας
45343200-5,Εργασίες εγκατάστασης εξοπλισμών πυρόσβεσης
45343220-1,Εργασίες εγκατάστασης πυροσβεστήρων
45410000-4,Εργασίες επίχρισης κονιαμάτων
45420000-7,Εργασίες τοποθέτησης στοιχείων από ξύλο
45421100-5,Τοποθέτηση θυρών
45431100-8,Εργασίες τοποθέτησης πλακιδίων δαπέδων
45432114-6,Τοποθέτηση ξύλινων δαπέδων
45441000-0,Υαλοτεχνικές εργασίες
45442100-8,Εργασίες βαφής
45442110-1,Εργασίες βαφής κτιρίων
45442120-4,Εργασίες βαφής και προστατευτικής επικάλυψης τεχνικών κατασκευών
45520000-8,Ενοικίαση εξοπλισμού χωματουργικών εργασιών με χειριστή
48000000-8,Πακέτα λογισμικού και συστήματα πληροφορικής
48810000-9,Συστήματα πληροφόρησης
50000000-5,Υπηρεσίες επισκευής και συντήρησης
50118200-7,Υπηρεσίες επισκευής βλαβών επαγγελματικών οχημάτων
50324100-3,Υπηρεσίες συντήρησης συστημάτων
50413200-5,Υπηρεσίες επισκευής και συντήρησης εξοπλισμού πυρόσβεσης
50500000-0,Υπηρεσίες επισκευής και συντήρησης αντλιών - βαλβίδων - κρουνών και μεταλλικών δοχείων και μηχανημάτων
50514200-3,Υπηρεσίες επισκευής και συντήρησης δεξαμενών
50610000-4,Υπηρεσίες επισκευής και συντήρησης εξοπλισμού ασφαλείας
50700000-2,Υπηρεσίες επισκευής και συντήρησης εγκαταστάσεων κτιρίου
50710000-5,Υπηρεσίες επισκευής και συντήρησης ηλεκτρομηχανολογικών εγκαταστάσεων κτιρίου
50800000-3,Διάφορες υπηρεσίες επισκευής και συντήρησης
51000000-9,Υπηρεσίες εγκατάστασης (εκτός από υπηρεσίες εγκατάστασης λογισμικού)
51110000-6,Υπηρεσίες εγκατάστασης ηλεκτρολογικού εξοπλισμού
